# reactions: 3
Time	S	I	R	N	Fired Reaction
4.69649092693167	34.0	23.0	43.0	100.0	 3
4.699231484846487	35.0	23.0	42.0	100.0	 3
4.709854198170672	36.0	23.0	41.0	100.0	 3
4.731757485224455	37.0	23.0	40.0	100.0	 3
4.751056368842067	38.0	23.0	39.0	100.0	 3
4.76322658140586	39.0	23.0	38.0	100.0	 3
4.770955452128207	38.0	24.0	38.0	100.0	 1
4.7753607763345896	37.0	25.0	38.0	100.0	 1
4.779203301905817	36.0	26.0	38.0	100.0	 1
4.782317360324881	37.0	26.0	37.0	100.0	 3
4.789611032461077	36.0	27.0	37.0	100.0	 1
4.793326334825787	36.0	26.0	38.0	100.0	 2
4.7949277929516265	36.0	25.0	39.0	100.0	 2
4.797592597885271	35.0	26.0	39.0	100.0	 1
4.826955134999252	34.0	27.0	39.0	100.0	 1
4.835980607170416	35.0	27.0	38.0	100.0	 3
4.854490493229998	36.0	27.0	37.0	100.0	 3
4.903627054249649	35.0	28.0	37.0	100.0	 1
4.92131039783616	34.0	29.0	37.0	100.0	 1
4.922866803090243	35.0	29.0	36.0	100.0	 3
4.927130240529787	34.0	30.0	36.0	100.0	 1
4.928971145352273	34.0	29.0	37.0	100.0	 2
4.940723324264898	33.0	30.0	37.0	100.0	 1
4.976792136299705	33.0	29.0	38.0	100.0	 2
4.98039110550087	32.0	30.0	38.0	100.0	 1
4.990138874722323	31.0	31.0	38.0	100.0	 1
4.99649601138474	31.0	30.0	39.0	100.0	 2
5.009527435818026	32.0	30.0	38.0	100.0	 3
5.038512979347115	33.0	30.0	37.0	100.0	 3
5.050530779589851	34.0	30.0	36.0	100.0	 3
5.0583477698997505	33.0	31.0	36.0	100.0	 1
5.066279731464628	33.0	30.0	37.0	100.0	 2
5.092910094849402	34.0	30.0	36.0	100.0	 3
5.11948200435393	33.0	31.0	36.0	100.0	 1
5.134492219548868	33.0	30.0	37.0	100.0	 2
5.1528232158172695	33.0	29.0	38.0	100.0	 2
5.158039990272205	32.0	30.0	38.0	100.0	 1
5.158319784125682	31.0	31.0	38.0	100.0	 1
5.161753060631446	31.0	30.0	39.0	100.0	 2
5.18001952679006	30.0	31.0	39.0	100.0	 1
5.18835588325467	30.0	30.0	40.0	100.0	 2
5.195016913505604	29.0	31.0	40.0	100.0	 1
5.195994872482908	30.0	31.0	39.0	100.0	 3
5.21400391944019	31.0	31.0	38.0	100.0	 3
5.2501802834494775	32.0	31.0	37.0	100.0	 3
5.260938155508241	33.0	31.0	36.0	100.0	 3
5.270503007779771	33.0	30.0	37.0	100.0	 2
5.275166453096129	32.0	31.0	37.0	100.0	 1
5.285464951031651	31.0	32.0	37.0	100.0	 1
5.294848562108357	31.0	31.0	38.0	100.0	 2
5.315712290354772	30.0	32.0	38.0	100.0	 1
5.337577878674306	30.0	31.0	39.0	100.0	 2
5.341103408641154	30.0	30.0	40.0	100.0	 2
5.341179931905679	30.0	29.0	41.0	100.0	 2
5.359848551223373	30.0	28.0	42.0	100.0	 2
5.381587522675049	31.0	28.0	41.0	100.0	 3
5.395674399942708	32.0	28.0	40.0	100.0	 3
5.40282645667411	33.0	28.0	39.0	100.0	 3
5.405155432477905	34.0	28.0	38.0	100.0	 3
5.426252735595589	34.0	27.0	39.0	100.0	 2
5.46078639213793	34.0	26.0	40.0	100.0	 2
5.461025922339907	34.0	25.0	41.0	100.0	 2
5.532618247755813	33.0	26.0	41.0	100.0	 1
5.536792948877785	33.0	25.0	42.0	100.0	 2
5.5774305203401955	33.0	24.0	43.0	100.0	 2
5.59987427847768	33.0	23.0	44.0	100.0	 2
5.610523228704739	34.0	23.0	43.0	100.0	 3
5.6553736250227615	35.0	23.0	42.0	100.0	 3
5.670785025458988	34.0	24.0	42.0	100.0	 1
5.67103924988492	35.0	24.0	41.0	100.0	 3
5.677721024979922	34.0	25.0	41.0	100.0	 1
5.680596623164779	35.0	25.0	40.0	100.0	 3
5.706616111727553	34.0	26.0	40.0	100.0	 1
5.721950241430791	34.0	25.0	41.0	100.0	 2
5.736186423466859	35.0	25.0	40.0	100.0	 3
5.737028250973581	36.0	25.0	39.0	100.0	 3
5.771653972798996	35.0	26.0	39.0	100.0	 1
5.781534657533762	34.0	27.0	39.0	100.0	 1
5.798881002015424	34.0	26.0	40.0	100.0	 2
5.802466238665811	33.0	27.0	40.0	100.0	 1
5.816399554781239	32.0	28.0	40.0	100.0	 1
5.834156137153626	33.0	28.0	39.0	100.0	 3
5.855128032817066	33.0	27.0	40.0	100.0	 2
5.861245763899108	34.0	27.0	39.0	100.0	 3
5.861784350762263	34.0	26.0	40.0	100.0	 2
5.894431281829113	35.0	26.0	39.0	100.0	 3
5.908321929502814	34.0	27.0	39.0	100.0	 1
5.917736858477133	34.0	26.0	40.0	100.0	 2
5.927891130972484	34.0	25.0	41.0	100.0	 2
5.972226481760862	35.0	25.0	40.0	100.0	 3
5.989378467534586	36.0	25.0	39.0	100.0	 3
6.000379428163421	36.0	24.0	40.0	100.0	 2
6.000403096506114	36.0	23.0	41.0	100.0	 2
6.001871153042541	37.0	23.0	40.0	100.0	 3
6.001976312200279	37.0	22.0	41.0	100.0	 2
6.018142915158076	38.0	22.0	40.0	100.0	 3
6.0187297537244975	38.0	21.0	41.0	100.0	 2
6.018913197180841	38.0	20.0	42.0	100.0	 2
6.029055102124821	38.0	19.0	43.0	100.0	 2
6.040406437950011	39.0	19.0	42.0	100.0	 3
6.041032467701171	40.0	19.0	41.0	100.0	 3
6.042718214914291	39.0	20.0	41.0	100.0	 1
6.045828418568807	39.0	19.0	42.0	100.0	 2
6.047107053538919	38.0	20.0	42.0	100.0	 1
6.055827191627573	37.0	21.0	42.0	100.0	 1
